Full name,Debit,Credit
Cash and Cash Equivalents,182450.25,
Accounts Receivable,67890.10,
Prepaid Expenses,12340.00,
Furniture & Equipment,95000.00,
Accumulated Depreciation,,38500.00
Accounts Payable,,23415.65
Accrued Payroll,,15275.00
Deferred Revenue,,42000.00
Owner's Equity,,145000.00
Retained Earnings,,55489.70
Service Income:Consulting Fees,,510000.00
Salaries and Wages,285000.00,
Rent Expense,96000.00,
Operating Expenses:Occupancy:Facility Depreciation,19250.00,
Office Supplies,8750.00,
Professional Fees,49760.00,
Insurance Expenses,12500.00,
Bank Service Charges,740.00,
TOTAL,829680.35,829680.35
